,author,feature,token_id,doc_id,to_report,doc_tested,len
50034,DtrH,7812,31127,DtrH|2Kgs.17,True,2Kgs.17,530
50035,DtrH,l,31128,DtrH|2Kgs.17,True,2Kgs.17,530
50036,DtrH,3605,31128,DtrH|2Kgs.17,True,2Kgs.17,530
50037,DtrH,6635,31129,DtrH|2Kgs.17,True,2Kgs.17,530
50038,DtrH,d,31130,DtrH|2Kgs.17,True,2Kgs.17,530
50039,DtrH,8064,31130,DtrH|2Kgs.17,True,2Kgs.17,530
50040,DtrH,5647,31131,DtrH|2Kgs.17,True,2Kgs.17,530
50041,DtrH,c,31131,DtrH|2Kgs.17,True,2Kgs.17,530
50042,DtrH,853,31132,DtrH|2Kgs.17,True,2Kgs.17,530
50043,DtrH,d,31133,DtrH|2Kgs.17,True,2Kgs.17,530
50044,DtrH,<Np>,31133,DtrH|2Kgs.17,True,2Kgs.17,530
50045,DtrH,c,31134,DtrH|2Kgs.17,True,2Kgs.17,530
50046,DtrH,5674,31134,DtrH|2Kgs.17,True,2Kgs.17,530
50047,DtrH,853,31135,DtrH|2Kgs.17,True,2Kgs.17,530
50048,DtrH,[Sp3mp],31136,DtrH|2Kgs.17,True,2Kgs.17,530
50049,DtrH,1121,31136,DtrH|2Kgs.17,True,2Kgs.17,530
50050,DtrH,853,31137,DtrH|2Kgs.17,True,2Kgs.17,530
50051,DtrH,c,31137,DtrH|2Kgs.17,True,2Kgs.17,530
50052,DtrH,[Sp3mp],31138,DtrH|2Kgs.17,True,2Kgs.17,530
50053,DtrH,1323,31138,DtrH|2Kgs.17,True,2Kgs.17,530
50054,DtrH,784,31139,DtrH|2Kgs.17,True,2Kgs.17,530
50055,DtrH,b,31139,DtrH|2Kgs.17,True,2Kgs.17,530
50056,DtrH,7080,31140,DtrH|2Kgs.17,True,2Kgs.17,530
50057,DtrH,c,31140,DtrH|2Kgs.17,True,2Kgs.17,530
50058,DtrH,7081,31141,DtrH|2Kgs.17,True,2Kgs.17,530
50059,DtrH,5172,31142,DtrH|2Kgs.17,True,2Kgs.17,530
50060,DtrH,c,31142,DtrH|2Kgs.17,True,2Kgs.17,530
50061,DtrH,4376,31143,DtrH|2Kgs.17,True,2Kgs.17,530
50062,DtrH,c,31143,DtrH|2Kgs.17,True,2Kgs.17,530
50063,DtrH,6213,31144,DtrH|2Kgs.17,True,2Kgs.17,530
50064,DtrH,l,31144,DtrH|2Kgs.17,True,2Kgs.17,530
50065,DtrH,7451,31145,DtrH|2Kgs.17,True,2Kgs.17,530
50066,DtrH,d,31145,DtrH|2Kgs.17,True,2Kgs.17,530
50067,DtrH,5869,31146,DtrH|2Kgs.17,True,2Kgs.17,530
50068,DtrH,b,31146,DtrH|2Kgs.17,True,2Kgs.17,530
50069,DtrH,<Np>,31147,DtrH|2Kgs.17,True,2Kgs.17,530
50070,DtrH,[Sp3ms],31148,DtrH|2Kgs.17,True,2Kgs.17,530
50071,DtrH,3707,31148,DtrH|2Kgs.17,True,2Kgs.17,530
50072,DtrH,l,31148,DtrH|2Kgs.17,True,2Kgs.17,530
50073,DtrH,c,31149,DtrH|2Kgs.17,True,2Kgs.17,530
50074,DtrH,599,31149,DtrH|2Kgs.17,True,2Kgs.17,530
50075,DtrH,<Np>,31150,DtrH|2Kgs.17,True,2Kgs.17,530
50076,DtrH,3966,31151,DtrH|2Kgs.17,True,2Kgs.17,530
50077,DtrH,<Np>,31152,DtrH|2Kgs.17,True,2Kgs.17,530
50078,DtrH,b,31152,DtrH|2Kgs.17,True,2Kgs.17,530
50079,DtrH,c,31153,DtrH|2Kgs.17,True,2Kgs.17,530
50080,DtrH,5493,31153,DtrH|2Kgs.17,True,2Kgs.17,530
50081,DtrH,[Sp3mp],31153,DtrH|2Kgs.17,True,2Kgs.17,530
50082,DtrH,m,31154,DtrH|2Kgs.17,True,2Kgs.17,530
50083,DtrH,5921,31154,DtrH|2Kgs.17,True,2Kgs.17,530
50084,DtrH,6440,31155,DtrH|2Kgs.17,True,2Kgs.17,530
50085,DtrH,[Sp3ms],31155,DtrH|2Kgs.17,True,2Kgs.17,530
50086,DtrH,3808,31156,DtrH|2Kgs.17,True,2Kgs.17,530
50087,DtrH,7604,31157,DtrH|2Kgs.17,True,2Kgs.17,530
50088,DtrH,7535,31158,DtrH|2Kgs.17,True,2Kgs.17,530
50089,DtrH,7626,31159,DtrH|2Kgs.17,True,2Kgs.17,530
50090,DtrH,<Np>,31160,DtrH|2Kgs.17,True,2Kgs.17,530
50091,DtrH,l,31161,DtrH|2Kgs.17,True,2Kgs.17,530
50092,DtrH,905,31161,DtrH|2Kgs.17,True,2Kgs.17,530
50093,DtrH,[Sp3ms],31161,DtrH|2Kgs.17,True,2Kgs.17,530
50094,DtrH,1571,31162,DtrH|2Kgs.17,True,2Kgs.17,530
50095,DtrH,<Np>,31163,DtrH|2Kgs.17,True,2Kgs.17,530
50096,DtrH,3808,31164,DtrH|2Kgs.17,True,2Kgs.17,530
50097,DtrH,8104,31165,DtrH|2Kgs.17,True,2Kgs.17,530
50098,DtrH,853,31166,DtrH|2Kgs.17,True,2Kgs.17,530
50099,DtrH,4687,31167,DtrH|2Kgs.17,True,2Kgs.17,530
50100,DtrH,<Np>,31168,DtrH|2Kgs.17,True,2Kgs.17,530
50101,DtrH,430,31169,DtrH|2Kgs.17,True,2Kgs.17,530
50102,DtrH,[Sp3mp],31169,DtrH|2Kgs.17,True,2Kgs.17,530
50103,DtrH,c,31170,DtrH|2Kgs.17,True,2Kgs.17,530
50104,DtrH,3212,31170,DtrH|2Kgs.17,True,2Kgs.17,530
50105,DtrH,b,31171,DtrH|2Kgs.17,True,2Kgs.17,530
50106,DtrH,2708,31171,DtrH|2Kgs.17,True,2Kgs.17,530
50107,DtrH,<Np>,31172,DtrH|2Kgs.17,True,2Kgs.17,530
50108,DtrH,834,31173,DtrH|2Kgs.17,True,2Kgs.17,530
50109,DtrH,6213,31174,DtrH|2Kgs.17,True,2Kgs.17,530
50110,DtrH,c,31175,DtrH|2Kgs.17,True,2Kgs.17,530
50111,DtrH,3988,31175,DtrH|2Kgs.17,True,2Kgs.17,530
50112,DtrH,<Np>,31176,DtrH|2Kgs.17,True,2Kgs.17,530
50113,DtrH,b,31177,DtrH|2Kgs.17,True,2Kgs.17,530
50114,DtrH,3605,31177,DtrH|2Kgs.17,True,2Kgs.17,530
50115,DtrH,2233,31178,DtrH|2Kgs.17,True,2Kgs.17,530
50116,DtrH,<Np>,31179,DtrH|2Kgs.17,True,2Kgs.17,530
50117,DtrH,6031,31180,DtrH|2Kgs.17,True,2Kgs.17,530
50118,DtrH,[Sp3mp],31180,DtrH|2Kgs.17,True,2Kgs.17,530
50119,DtrH,c,31180,DtrH|2Kgs.17,True,2Kgs.17,530
50120,DtrH,[Sp3mp],31181,DtrH|2Kgs.17,True,2Kgs.17,530
50121,DtrH,5414,31181,DtrH|2Kgs.17,True,2Kgs.17,530
50122,DtrH,c,31181,DtrH|2Kgs.17,True,2Kgs.17,530
50123,DtrH,3027,31182,DtrH|2Kgs.17,True,2Kgs.17,530
50124,DtrH,b,31182,DtrH|2Kgs.17,True,2Kgs.17,530
50125,DtrH,8154,31183,DtrH|2Kgs.17,True,2Kgs.17,530
50126,DtrH,5704,31184,DtrH|2Kgs.17,True,2Kgs.17,530
50127,DtrH,834,31185,DtrH|2Kgs.17,True,2Kgs.17,530
50128,DtrH,7993,31186,DtrH|2Kgs.17,True,2Kgs.17,530
50129,DtrH,[Sp3mp],31186,DtrH|2Kgs.17,True,2Kgs.17,530
50130,DtrH,[Sp3ms],31187,DtrH|2Kgs.17,True,2Kgs.17,530
50131,DtrH,m,31187,DtrH|2Kgs.17,True,2Kgs.17,530
50132,DtrH,6440,31187,DtrH|2Kgs.17,True,2Kgs.17,530
50133,DtrH,3588,31188,DtrH|2Kgs.17,True,2Kgs.17,530
50134,DtrH,7167,31189,DtrH|2Kgs.17,True,2Kgs.17,530
50135,DtrH,<Np>,31190,DtrH|2Kgs.17,True,2Kgs.17,530
50136,DtrH,m,31191,DtrH|2Kgs.17,True,2Kgs.17,530
50137,DtrH,5921,31191,DtrH|2Kgs.17,True,2Kgs.17,530
50138,DtrH,1004,31192,DtrH|2Kgs.17,True,2Kgs.17,530
50139,DtrH,<Np>,31193,DtrH|2Kgs.17,True,2Kgs.17,530
50140,DtrH,4427,31194,DtrH|2Kgs.17,True,2Kgs.17,530
50141,DtrH,c,31194,DtrH|2Kgs.17,True,2Kgs.17,530
50142,DtrH,853,31195,DtrH|2Kgs.17,True,2Kgs.17,530
50143,DtrH,<Np>,31196,DtrH|2Kgs.17,True,2Kgs.17,530
50144,DtrH,1121,31197,DtrH|2Kgs.17,True,2Kgs.17,530
50145,DtrH,<Np>,31198,DtrH|2Kgs.17,True,2Kgs.17,530
50146,DtrH,c,31199,DtrH|2Kgs.17,True,2Kgs.17,530
50147,DtrH,5077,31199,DtrH|2Kgs.17,True,2Kgs.17,530
50148,DtrH,c,31200,DtrH|2Kgs.17,True,2Kgs.17,530
50149,DtrH,5080,31200,DtrH|2Kgs.17,True,2Kgs.17,530
50150,DtrH,<Np>,31201,DtrH|2Kgs.17,True,2Kgs.17,530
50151,DtrH,853,31202,DtrH|2Kgs.17,True,2Kgs.17,530
50152,DtrH,<Np>,31203,DtrH|2Kgs.17,True,2Kgs.17,530
50153,DtrH,m,31204,DtrH|2Kgs.17,True,2Kgs.17,530
50154,DtrH,310,31204,DtrH|2Kgs.17,True,2Kgs.17,530
50155,DtrH,<Np>,31205,DtrH|2Kgs.17,True,2Kgs.17,530
50156,DtrH,2398,31206,DtrH|2Kgs.17,True,2Kgs.17,530
50157,DtrH,[Sp3mp],31206,DtrH|2Kgs.17,True,2Kgs.17,530
50158,DtrH,c,31206,DtrH|2Kgs.17,True,2Kgs.17,530
50159,DtrH,2401,31207,DtrH|2Kgs.17,True,2Kgs.17,530
50160,DtrH,1419,31208,DtrH|2Kgs.17,True,2Kgs.17,530
50161,DtrH,1121,31209,DtrH|2Kgs.22,True,2Kgs.22,574
50162,DtrH,8083,31210,DtrH|2Kgs.22,True,2Kgs.22,574
50163,DtrH,8141,31211,DtrH|2Kgs.22,True,2Kgs.22,574
50164,DtrH,<Np>,31212,DtrH|2Kgs.22,True,2Kgs.22,574
50165,DtrH,b,31213,DtrH|2Kgs.22,True,2Kgs.22,574
50166,DtrH,[Sp3ms],31213,DtrH|2Kgs.22,True,2Kgs.22,574
50167,DtrH,4427,31213,DtrH|2Kgs.22,True,2Kgs.22,574
50168,DtrH,c,31214,DtrH|2Kgs.22,True,2Kgs.22,574
50169,DtrH,7970,31214,DtrH|2Kgs.22,True,2Kgs.22,574
50170,DtrH,259,31215,DtrH|2Kgs.22,True,2Kgs.22,574
